DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,LOCATION,LAT,LON,Year,Month,Day,Time Period,Age Range
200114396,07/06/2020 12:00:00 AM,2020-07-04,0.0421455938697318,1,1,157,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,6TH                          ST,34.0423,-118.2453,0,0.545454545454545,0.1,12 AM - 3 AM,30-39
200912561,07/20/2020 12:00:00 AM,2020-07-20,0.29757343550447,9,9,937,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,BESSEMER,34.1812,-118.4356,0,0.545454545454545,0.633333333333333,12 AM - 3 AM,30-39
200207955,03/19/2020 12:00:00 AM,2020-03-19,0.0549169859514687,2,7,236,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,1900    MIRAMAR                      ST,34.0632,-118.2693,0,0.181818181818182,0.6,12 AM - 3 AM,30-39
200112598,06/01/2020 12:00:00 AM,2020-05-30,0.0123456790123457,1,1,153,1,310,10,1609 0344,39,F,4,201,21,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,0,310,946.744186046512,600 S  BROADWAY,34.0467,-118.252,0,0.363636363636364,0.966666666666667,12 AM - 3 AM,30-39
200905707,02/08/2020 12:00:00 AM,2020-02-07,0.851000425713069,9,9,939,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,1,510,946.744186046512,AETNA,34.1803,-118.4204,0,0.0909090909090909,0.2,12 AM - 3 AM,30-39
200215463,09/26/2020 12:00:00 AM,2020-09-25,0.808429118773946,2,7,237,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,1600 W  COURT                        ST,34.0668,-118.2627,0,0.727272727272727,0.8,12 AM - 3 AM,30-39
200308100,03/07/2020 12:00:00 AM,2020-03-06,0.936143039591316,3,8,317,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,VERMONT,34.0344,-118.2915,0,0.181818181818182,0.166666666666667,12 AM - 3 AM,30-39
200606074,02/12/2020 12:00:00 AM,2020-02-07,0.687100893997446,6,4,646,2,805,31,1300 1402,23,M,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,0,805,998,HOLLYWOOD,34.1016,-118.337,0,0.0909090909090909,0.2,12 AM - 3 AM,20-29
200517540,12/07/2020 12:00:00 AM,2020-11-30,0.959557258407833,5,2,541,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,1400    BRETT                        PL,33.7553,-118.3056,0,0.909090909090909,0.966666666666667,12 AM - 3 AM,30-39
200506977,03/10/2020 12:00:00 AM,2020-02-22,0.0123456790123457,5,2,511,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,0,510,946.744186046512,1600 W  PACIFIC COAST                HY,33.7926,-118.3043,0,0.0909090909090909,0.7,12 AM - 3 AM,30-39
201110303,06/11/2020 12:00:00 AM,2020-06-08,0.851000425713069,11,6,1118,1,310,10,0344 1607,39,F,3,203,37,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,310,946.744186046512,100    AVENUE 56,34.1089,-118.1942,0,0.454545454545455,0.233333333333333,12 AM - 3 AM,30-39
201000767,07/14/2020 12:00:00 AM,2020-07-13,0.851000425713069,10,11,1043,1,330,11,0344 1602 1822 1402,41,F,4,108,43,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,0,330,998,18600    HATTERAS                     ST,34.1774,-118.5387,0,0.545454545454545,0.4,12 AM - 3 AM,40-49
200510354,06/08/2020 12:00:00 AM,2020-06-08,0.140059599829715,5,2,587,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,2900 S  KERCKHOFF                    AV,33.7179,-118.2898,0,0.454545454545455,0.233333333333333,12 AM - 3 AM,30-39
200410136,06/24/2020 12:00:00 AM,2020-06-24,0.29757343550447,4,3,413,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,300 E  AVENUE 31,34.0809,-118.2132,0,0.454545454545455,0.766666666666667,12 AM - 3 AM,30-39
200814461,09/24/2020 12:00:00 AM,2020-09-24,0.727543635589613,8,10,898,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,ROBERTSON                    BL,34.0375,-118.3886,0,0.727272727272727,0.766666666666667,12 AM - 3 AM,30-39
201215562,06/29/2020 12:00:00 AM,2020-06-29,0.310344827586207,12,0,1263,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,81ST,33.9655,-118.3046,0,0.454545454545455,0.933333333333333,12 AM - 3 AM,30-39
200210168,05/14/2020 12:00:00 AM,2020-05-12,0.893571732652193,2,7,266,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,700 S  UNION                        AV,34.0531,-118.2738,0,0.363636363636364,0.366666666666667,12 AM - 3 AM,30-39
200714301,09/27/2020 12:00:00 AM,2020-09-22,0.608343976160068,7,12,702,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,800 N  FULLER                       AV,34.0853,-118.3499,0,0.727272727272727,0.7,12 AM - 3 AM,30-39
200906009,02/14/2020 12:00:00 AM,2020-02-13,0.948914431673052,9,9,914,2,806,30,0908 1212 1402,39,M,5,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,1,806,998,SEPULVEDA,34.1958,-118.4662,0,0.0909090909090909,0.4,12 AM - 3 AM,30-39
200218448,12/11/2020 12:00:00 AM,2020-12-10,0.851000425713069,2,7,271,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,900 S  ALVARADO                     ST,34.0529,-118.2819,0,1,0.3,12 AM - 3 AM,30-39
200618540,11/27/2020 12:00:00 AM,2020-11-27,0.404001702852278,6,4,642,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,ORANGE,34.0981,-118.3577,0,0.909090909090909,0.866666666666667,12 AM - 3 AM,30-39
200316510,08/30/2020 12:00:00 AM,2020-08-29,0.872286079182631,3,8,333,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,1,510,946.744186046512,JEFFERSON,34.0278,-118.3378,0,0.636363636363636,0.933333333333333,12 AM - 3 AM,30-39
200504009,01/01/2020 12:00:00 AM,2020-01-01,0.893571732652193,5,2,526,2,946,29,1501 0906 1816,39,X,5,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,0,946,946.744186046512,G,33.7783,-118.2662,0,0,0,12 AM - 3 AM,30-39
200808682,04/25/2020 12:00:00 AM,2020-04-21,0.595572584078331,8,10,858,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,8800 W  PICO                         BL,34.0548,-118.3837,0,0.272727272727273,0.666666666666667,12 AM - 3 AM,30-39
200810737,06/17/2020 12:00:00 AM,2020-06-16,0.680715197956577,8,10,829,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,1300    WOODRUFF                     AV,34.0633,-118.4292,0,0.454545454545455,0.5,12 AM - 3 AM,30-39
201116973,12/26/2020 12:00:00 AM,2020-12-26,0.140911025968497,11,6,1169,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,200 S  AVENUE 51,34.1038,-118.1987,0,1,0.833333333333333,12 AM - 3 AM,30-39
200510994,06/25/2020 12:00:00 AM,2020-06-25,0.0974882928905917,5,2,563,1,510,49,344,39,F,2,108,43,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,14TH                         ST,33.7315,-118.2879,0,0.454545454545455,0.8,12 AM - 3 AM,30-39
201107590,03/22/2020 12:00:00 AM,2020-03-21,0.851000425713069,11,6,1137,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,700 N  AVENUE 50,34.1109,-118.2016,0,0.181818181818182,0.666666666666667,12 AM - 3 AM,30-39
200119680,10/19/2020 12:00:00 AM,2020-10-18,0.765857811834823,1,1,159,1,510,49,344,39,F,2,108,43,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,1800    CONWAY                       PL,34.0366,-118.2325,0,0.818181818181818,0.566666666666667,12 AM - 3 AM,30-39
200410224,06/27/2020 12:00:00 AM,2020-06-27,0.169859514687101,4,3,471,1,510,49,344,39,F,2,108,43,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,4TH,34.0427,-118.2237,0,0.454545454545455,0.866666666666667,12 AM - 3 AM,30-39
200412621,09/10/2020 12:00:00 AM,2020-09-09,0.765857811834823,4,3,467,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,100 S  SOTO                         ST,34.0424,-118.2107,0,0.727272727272727,0.266666666666667,12 AM - 3 AM,30-39
201106871,03/04/2020 12:00:00 AM,2020-03-02,0.906343124733929,11,6,1107,2,745,47,344,50,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,745,946.744186046512,6100    DELPHI                       ST,34.1241,-118.1878,0,0.181818181818182,0.0333333333333333,12 AM - 3 AM,50-59
200111627,05/12/2020 12:00:00 AM,2020-05-10,0.936143039591316,1,1,111,2,626,25,2000 0416 0913,30,M,4,502,32,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,0,626,998,700 N  HILL                         PL,34.0618,-118.2424,0,0.363636363636364,0.3,12 AM - 3 AM,30-39
200109800,03/29/2020 12:00:00 AM,2020-03-29,0.395487441464453,1,1,163,1,330,11,1307 1822 0377 0329 1414 1609 0344,39,F,4,103,0,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,330,946.744186046512,9TH,34.0416,-118.255,0,0.181818181818182,0.933333333333333,12 AM - 3 AM,30-39
201225656,12/02/2020 12:00:00 AM,2020-12-02,0.955300127713921,12,0,1268,1,210,34,0344 0305 0355,21,F,2,101,52,511,VERBAL THREAT,IC,2,210,946.744186046512,SAN PEDRO,33.961,-118.2695,0,1,0.0333333333333333,12 AM - 3 AM,20-29
200309451,04/04/2020 12:00:00 AM,2020-04-04,0.514687100893998,3,8,361,1,310,10,0329 0325 0344 1601,19,X,5,301,17,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,310,946.744186046512,3700 S  LA BREA                      AV,34.0199,-118.3556,0,0.272727272727273,0.1,12 AM - 3 AM,10-19
200211094,06/08/2020 12:00:00 AM,2020-06-06,0.510429970200085,2,7,237,1,341,43,1822 0344 1309 0601,39,X,5,247,4,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,341,946.744186046512,1600 W  TEMPLE                       ST,34.0682,-118.2609,0,0.454545454545455,0.166666666666667,12 AM - 3 AM,30-39
201212036,05/02/2020 12:00:00 AM,2020-05-01,0.991485738612176,12,0,1268,1,230,2,1822 0411,28,M,1,501,51,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,2,230,946.744186046512,100 E  82ND                         ST,33.9654,-118.2739,0,0.363636363636364,0,12 AM - 3 AM,20-29
200914517,09/10/2020 12:00:00 AM,2020-09-09,0.738186462324393,9,9,909,2,354,41,0377 1822 0928,40,F,3,507,8,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,354,946.744186046512,13600    LEADWELL                     ST,34.2039,-118.4312,0,0.727272727272727,0.266666666666667,12 AM - 3 AM,40-49
200105246,01/18/2020 12:00:00 AM,2020-01-18,0.399744572158365,1,1,118,2,624,4,0913 0400,42,F,0,502,32,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,0,624,946.744186046512,200 E  BLOOM                        ST,34.0639,-118.2295,0,0,0.566666666666667,12 AM - 3 AM,40-49
201106067,02/15/2020 12:00:00 AM,2020-02-15,0.77862920391656,11,6,1101,1,330,11,0344 0352 1307,43,F,0,108,43,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,330,946.744186046512,2700 N  VERMONT                      AV,34.1179,-118.293,0,0.0909090909090909,0.466666666666667,12 AM - 3 AM,40-49
201116118,11/27/2020 12:00:00 AM,2020-11-23,0.510429970200085,11,6,1141,2,354,41,0930 1822,26,F,4,501,51,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,354,946.744186046512,2000 N  VERMONT                      AV,34.1095,-118.2958,0,0.909090909090909,0.733333333333333,12 AM - 3 AM,20-29
200716724,12/04/2020 12:00:00 AM,2020-12-03,0.344827586206897,7,12,722,1,442,36,0325 0104,19,F,3,203,37,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,442,946.744186046512,8400    BEVERLY                      BL,34.0761,-118.3737,0,1,0.0666666666666667,12 AM - 3 AM,10-19
200217442,11/15/2020 12:00:00 AM,2020-11-15,0.13154533844189,2,7,218,1,310,10,1822 1609 0329 0344 0352,36,F,4,210,49,500,UNKNOWN WEAPON/OTHER WEAPON,IC,2,310,946.744186046512,1500 W  SUNSET                       BL,34.0758,-118.2552,0,0.909090909090909,0.466666666666667,12 AM - 3 AM,30-39
200914052,08/27/2020 12:00:00 AM,2020-08-27,0.533844189016603,9,9,935,2,624,4,444,57,M,2,102,50,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,624,946.744186046512,14100    SYLVAN                       ST,34.1847,-118.44,0,0.636363636363636,0.866666666666667,12 AM - 3 AM,50-59
200810920,06/20/2020 12:00:00 AM,2020-06-20,0.425287356321839,8,10,841,2,624,4,1202 0448,78,M,4,510,35,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,1,624,946.744186046512,12100    SANTA MONICA                 BL,34.0423,-118.4656,0,0.454545454545455,0.633333333333333,12 AM - 3 AM,70-79
201112187,08/04/2020 12:00:00 AM,2020-07-16,0.808429118773946,11,6,1144,2,662,9,0701 0913 0361,51,M,4,501,51,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,662,946.744186046512,2100    HYPERION                     AV,34.099,-118.2738,0,0.545454545454545,0.5,12 AM - 3 AM,50-59
201212259,05/05/2020 12:00:00 AM,2020-05-05,0.396338867603235,12,0,1239,1,343,37,0315 0325 0344 0324,39,X,5,402,23,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,343,946.744186046512,5900 S  FIGUEROA                     ST,33.9874,-118.2827,0,0.363636363636364,0.133333333333333,12 AM - 3 AM,30-39
200918185,12/07/2020 12:00:00 AM,2020-12-07,0.511707109408259,9,9,935,2,900,51,2000 2038,52,M,4,725,18,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,0,900,946.744186046512,6200    SYLMAR                       AV,34.1837,-118.4465,0,1,0.2,12 AM - 3 AM,50-59
200105289,01/19/2020 12:00:00 AM,2020-01-16,0.7232865048957,1,1,119,1,510,49,344,39,F,2,104,14,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,400    BAUCHET                      ST,34.0587,-118.233,0,0,0.5,12 AM - 3 AM,30-39
200516527,11/12/2020 12:00:00 AM,2020-11-12,0.182630906768838,5,2,508,1,510,49,344,39,F,2,104,14,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,23400    PRESIDENT                    AV,33.8129,-118.3071,0,0.909090909090909,0.366666666666667,12 AM - 3 AM,30-39
200609101,04/15/2020 12:00:00 AM,2020-04-12,0.553001277139208,6,4,648,1,510,49,344,39,F,2,108,43,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,1,510,946.744186046512,5700    HOLLYWOOD                    BL,34.1017,-118.3136,0,0.272727272727273,0.366666666666667,12 AM - 3 AM,30-39
201210786,04/11/2020 12:00:00 AM,2020-04-11,0.865900383141763,12,0,1259,1,230,2,1822 2024 0445 0411 1218 2033,26,M,1,103,0,215,MACHETE,IC,2,230,946.744186046512,74TH                         ST,33.973,-118.2652,0,0.272727272727273,0.333333333333333,12 AM - 3 AM,20-29
200706211,02/17/2020 12:00:00 AM,2020-02-16,1,7,12,734,2,624,4,444,29,M,2,502,32,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,1,624,946.744186046512,6000 W  6TH                          ST,34.0677,-118.3548,0,0.0909090909090909,0.5,12 AM - 3 AM,20-29
200514277,09/17/2020 12:00:00 AM,2020-09-17,0.959557258407833,5,2,558,2,901,52,1813 2000 2038,46,M,2,502,32,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,1,901,946.744186046512,200 W  AMAR                         ST,33.7478,-118.2822,0,0.727272727272727,0.533333333333333,12 AM - 3 AM,40-49
200506268,02/22/2020 12:00:00 AM,2020-02-22,0.808429118773946,5,2,511,1,440,42,0319 0344 0429 0448 0305,29,M,4,102,50,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,440,624,PACIFIC COAST,33.7926,-118.3043,0,0.0909090909090909,0.7,12 AM - 3 AM,20-29
200119908,10/24/2020 12:00:00 AM,2020-10-23,0.991485738612176,1,1,185,1,330,11,1609 0344 1307 1822 0329,39,M,1,108,43,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,330,946.744186046512,1000 S  BROADWAY,34.0406,-118.2578,0,0.818181818181818,0.733333333333333,12 AM - 3 AM,30-39
200206940,02/27/2020 12:00:00 AM,2020-02-27,0.533844189016603,2,7,216,1,230,2,1822 0202 1309 1310 0906 0302 1100 0430,28,F,2,101,52,102,HAND GUN,IC,2,230,946.744186046512,BELLEVUE                     AV,34.0751,-118.2717,0,0.0909090909090909,0.866666666666667,12 AM - 3 AM,20-29
200709456,05/20/2020 12:00:00 AM,2020-05-20,0.531715623669647,7,12,773,1,330,11,1300 1309 1607 0344 0326,53,M,4,501,51,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,330,946.744186046512,1800 S  COCHRAN                      AV,34.0443,-118.3538,0,0.363636363636364,0.633333333333333,12 AM - 3 AM,50-59
201014375,10/24/2020 12:00:00 AM,2020-10-23,0.991485738612176,10,11,1025,2,740,46,0329 1822 1420,39,F,4,210,49,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,740,946.744186046512,6800    RESEDA                       BL,34.1939,-118.536,0,0.818181818181818,0.733333333333333,12 AM - 3 AM,30-39
200117110,08/28/2020 12:00:00 AM,2020-05-01,0.0421455938697318,1,1,154,1,121,32,0537 0527 1814 0522 0516 2000 1206 2001 0913,22,M,2,502,32,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,121,946.744186046512,500 S  MAIN                         ST,34.0465,-118.2488,0,0.363636363636364,0,12 AM - 3 AM,20-29
200610130,05/11/2020 12:00:00 AM,2020-05-11,0.480630055342699,6,4,645,1,210,34,0325 0601 0104 0400 0945 1822,39,X,5,401,24,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,0,210,946.744186046512,7000 W  SUNSET                       BL,34.098,-118.3416,0,0.363636363636364,0.333333333333333,12 AM - 3 AM,30-39
200714035,09/20/2020 12:00:00 AM,2020-09-01,0,7,12,715,1,331,38,1822 0344 1300 0385,70,M,4,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,331,946.744186046512,400 N  ALTA VISTA                   BL,34.0783,-118.3474,0,0.727272727272727,0,12 AM - 3 AM,70-79
200210863,06/01/2020 12:00:00 AM,2020-06-01,0.648786717752235,2,7,235,1,510,49,344,39,F,2,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,510,946.744186046512,2200    VALLEY                       ST,34.0653,-118.2725,0,0.454545454545455,0,12 AM - 3 AM,30-39
200911839,07/02/2020 12:00:00 AM,2020-06-26,0.510429970200085,9,9,974,1,331,38,0344 0385,36,F,4,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,331,946.744186046512,4600    WILLIS                       AV,34.1545,-118.4552,0,0.454545454545455,0.833333333333333,12 AM - 3 AM,30-39
200615995,09/28/2020 12:00:00 AM,2020-09-27,0.0144742443593018,6,4,646,2,740,46,0329 1822,39,X,5,203,37,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,740,946.744186046512,6600 W  SUNSET                       BL,34.098,-118.3335,0,0.727272727272727,0.866666666666667,12 AM - 3 AM,30-39
200200760,07/07/2020 12:00:00 AM,2020-07-07,0.689229459344402,2,7,241,1,230,2,2004 0334 0445 0416 1822 1218 0429 1223 0400,45,F,1,102,50,500,UNKNOWN WEAPON/OTHER WEAPON,IC,2,230,946.744186046512,6TH                          ST,34.0628,-118.2821,0,0.545454545454545,0.2,12 AM - 3 AM,40-49
201115543,11/08/2020 12:00:00 AM,2020-11-08,0.638143891017454,11,6,1183,1,330,11,0344 1612,42,F,4,101,52,360.941176470588,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,2,330,946.744186046512,1600 N  ALVARADO                     ST,34.0834,-118.2599,0,0.909090909090909,0.233333333333333,12 AM - 3 AM,40-49
